Rank,Symbol,Momentum,Volatility,Score
1,PIDILITIND,0.725535,0.022773,31.8598
2,PANACEABIO,0.739503,0.028254,26.1732
3,HCC,0.548174,0.022446,24.4223
4,VOLTAS,0.71327,0.031084,22.9468
5,JINDALSTEL,0.410289,0.018117,22.6462
6,CONCOR,0.398859,0.017774,22.4412
7,ABIRLANUVO,0.475601,0.022822,20.8397
8,TATACONSUM,0.355303,0.017618,20.1673
9,DCMSHRIRAM,0.589363,0.029282,20.127
10,BHARTIARTL,0.375952,0.018876,19.9169
11,GAMMONIND,0.410688,0.022307,18.411
12,ABAN,0.41811,0.023683,17.6546
13,EIHOTEL,0.338971,0.019579,17.313
14,VEDL,1.556604,0.090474,17.205
15,GRASIM,0.258324,0.015406,16.768
16,BRITANNIA,0.285533,0.017224,16.5778
17,GODFRYPHLP,0.346275,0.020889,16.5769
18,SBIN,0.259224,0.01595,16.2525
19,BHEL,0.306727,0.018887,16.2399
20,BIRLACORPN,0.395791,0.025717,15.3903
