Rank,Symbol,Momentum,Volatility,Score
1,BERGEPAINT,0.45453,0.019079,23.824
2,COLPAL,0.371006,0.017584,21.0987
3,BATAINDIA,0.308932,0.016636,18.57
4,ASIANPAINT,0.312715,0.017791,17.5772
5,HDFCAMC,0.449245,0.028669,15.6703
6,DMART,0.329276,0.023187,14.2008
7,WHIRLPOOL,0.24337,0.017296,14.071
8,INDIGO,0.340864,0.024454,13.939
9,PIDILITIND,0.228823,0.017409,13.1441
10,GLAXO,0.181734,0.013955,13.023
11,BPCL,0.374378,0.030229,12.3849
12,HONAUT,0.248053,0.021288,11.6523
13,HINDUNILVR,0.171205,0.015167,11.2881
14,GSKCONS,0.168167,0.014971,11.2332
15,SIEMENS,0.240485,0.022652,10.6167
16,NATCOPHARM,0.140904,0.013434,10.4886
17,AJANTPHARM,0.194114,0.018845,10.3004
18,ICICIPRULI,0.192408,0.019032,10.1097
19,RELAXO,0.174601,0.017308,10.0879
20,VOLTAS,0.162125,0.017334,9.3531
