Rank,Symbol,Momentum,Volatility,Score
1,BEML,0.673416,0.025756,26.1459
2,GVPIL,0.802693,0.030712,26.1362
3,BHEL,0.465915,0.019906,23.4055
4,SHREECEM,0.509242,0.022239,22.8989
5,PATELENG,0.37063,0.016928,21.8941
6,3MINDIA,0.54285,0.025954,20.9163
7,IVRCLINFRA,0.458476,0.022824,20.0875
8,RAMCOCEM,0.391859,0.020222,19.3775
9,GAMMONIND,0.416921,0.021936,19.0066
10,LT,0.430162,0.023071,18.6448
11,TMPV,0.386253,0.021281,18.1505
12,ABAN,0.677741,0.037864,17.8995
13,BRITANNIA,0.27981,0.015836,17.6692
14,MARUTI,0.366654,0.020947,17.5038
15,DRREDDY,0.392593,0.022733,17.2694
16,ABB,0.346112,0.020151,17.1755
17,GILLETTE,0.313459,0.018784,16.6879
18,GRASIM,0.308941,0.019129,16.1501
19,CUMMINSIND,0.456693,0.028703,15.9107
20,INDIACEM,0.508354,0.032481,15.651
