Rank,Symbol,Momentum,Volatility,Score
1,ACC,0.137234,0.013533,10.141
2,SUNTECK,0.141618,0.018868,7.5058
3,M&M,0.124138,0.020542,6.0432
4,AMBUJACEM,0.115785,0.02061,5.618
5,ULTRACEMCO,0.081212,0.015793,5.1424
6,BAJAJ-AUTO,0.089637,0.017678,5.0705
7,HEROMOTOCO,0.076771,0.01681,4.5669
8,RNAVAL,0.12973,0.028797,4.505
9,IGL,0.061728,0.014398,4.2872
10,GRASIM,0.063534,0.015585,4.0765
11,OIL,0.048244,0.013359,3.6113
12,LICHSGFIN,0.041163,0.020432,2.0146
13,GMDCLTD,0.044001,0.024112,1.8249
14,BPCL,0.019975,0.015883,1.2576
15,EIHOTEL,0.021053,0.021624,0.9736
16,CHAMBLFERT,0.028324,0.029934,0.9462
17,IDEA,0.021631,0.023779,0.9096
18,ASIANPAINT,0.010799,0.012957,0.8335
19,HINDUNILVR,0.011299,0.014006,0.8068
20,GUJENERGY,0.011976,0.018865,0.6348
