Rank,Symbol,Momentum
1,CENTBOP,2.884104
2,GVPIL,1.068176
3,BEML,0.933631
4,SIEMENS,0.899265
5,BAJAJHIND,0.889209
6,VOLTAS,0.842594
7,BALRAMCHIN,0.760956
8,ASTRAZEN,0.707989
9,SHREECEM,0.689796
10,AUROPHARMA,0.689171
11,3MINDIA,0.67038
12,LT,0.595954
13,INDHOTEL,0.592231
14,BHEL,0.591572
15,TMPV,0.58484
16,HCC,0.584298
17,PATELENG,0.580619
18,CUMMINSIND,0.578602
19,ABAN,0.575122
20,COLPAL,0.558903
