Rank,Symbol,Momentum
1,RVNL,1.090527
2,SUZLON,0.961194
3,MAZDOCK,0.89047
4,OIL,0.65046
5,DIXON,0.645358
6,PAYTM,0.631672
7,EMAMILTD,0.570153
8,MOTHERSON,0.550137
9,TRENT,0.530444
10,UNOMINDA,0.510764
11,FACT,0.504922
12,KALYANKJIL,0.482255
13,GLAXO,0.476096
14,PERSISTENT,0.425964
15,PATANJALI,0.422809
16,COROMANDEL,0.419122
17,ETERNAL,0.402296
18,OFSS,0.396167
19,JUBLFOOD,0.371835
20,POLICYBZR,0.37136
