Rank,Symbol,Momentum,Volatility,Score
1,VEDL,0.71964,0.026714,26.9392
2,RELINFRA,0.849361,0.038316,22.1671
3,UCOBANK,0.608534,0.028979,20.9989
4,TORNTPOWER,0.859827,0.044699,19.2358
5,ADANIENT,0.011368,0.000618,18.4025
6,JINDALSTEL,0.645806,0.038473,16.7861
7,MRPL,0.584795,0.03708,15.7711
8,SAIL,0.368261,0.024533,15.0106
9,RELIANCE,0.329156,0.022428,14.6762
10,RELIANCE,0.329156,0.022428,14.6762
11,RNRL,0.915778,0.064423,14.215
12,HUBTOWN,0.490935,0.035566,13.8036
13,CHAMBLFERT,0.657817,0.047684,13.7952
14,RAMCOCEM,0.230263,0.017722,12.9931
15,TTML,0.450805,0.035278,12.7787
16,LICHSGFIN,0.289321,0.022758,12.7127
17,KTKBANK,0.273339,0.021782,12.5486
18,IGL,0.254386,0.021108,12.0516
19,JPPOWER,0.647125,0.054427,11.8898
20,NCC,0.360233,0.030503,11.8096
