Rank,Symbol,Momentum,Volatility,Score
1,PAYTM,0.380945,0.01851,20.5804
2,CUMMINSIND,0.163883,0.011395,14.3814
3,FORTIS,0.181738,0.013992,12.9885
4,BOSCHLTD,0.220705,0.017744,12.4382
5,HINDUNILVR,0.15306,0.013161,11.6295
6,MEDANTA,0.221722,0.019258,11.5135
7,HDFCAMC,0.148374,0.012941,11.4654
8,DIXON,0.180091,0.016239,11.0901
9,TORNTPHARM,0.143615,0.01319,10.8883
10,ETERNAL,0.203334,0.021161,9.6089
11,HEROMOTOCO,0.16828,0.01836,9.1655
12,UNOMINDA,0.171278,0.018817,9.1022
13,MARUTI,0.12851,0.015158,8.4781
14,ASIANPAINT,0.093764,0.011137,8.4191
15,GVT&D,0.180482,0.02191,8.2375
16,ALKEM,0.120843,0.014675,8.2347
17,TVSMOTOR,0.124859,0.015359,8.1294
18,MANKIND,0.131669,0.016721,7.8743
19,VMM,0.137819,0.017733,7.772
20,BLUESTARCO,0.156,0.020087,7.7662
