Rank,Symbol,Momentum,Volatility,Score
1,GLAXO,0.251488,0.012481,20.1499
2,BRITANNIA,0.226112,0.011455,19.7397
3,TCS,0.249345,0.014983,16.6417
4,HINDUNILVR,0.187346,0.011675,16.0472
5,KOTAKBANK,0.200885,0.012664,15.8628
6,DHANI,0.699425,0.044389,15.7567
7,DABUR,0.161917,0.01125,14.3929
8,BAJFINANCE,0.201044,0.017827,11.2776
9,PFIZER,0.181793,0.016536,10.9936
10,JUBLFOOD,0.187359,0.017383,10.778
11,M&M,0.158921,0.015055,10.5557
12,MINDTREE,0.224518,0.021341,10.5205
13,DHFL,0.179993,0.017118,10.515
14,INFY,0.139122,0.014049,9.9026
15,GODREJCP,0.128845,0.0132,9.7608
16,HDFCBANK,0.104537,0.010979,9.5214
17,MPHASIS,0.246637,0.026862,9.1817
18,VBL,0.168282,0.018434,9.1286
19,RBLBANK,0.111883,0.012769,8.7622
20,ASIANPAINT,0.106352,0.012336,8.6215
