Rank,Symbol,Momentum,Volatility,Score
1,ADANIPOWER,1.140756,0.05329,21.4064
2,VGUARD,0.311773,0.018624,16.7403
3,EIHOTEL,0.340656,0.021555,15.8039
4,INDIGO,0.426583,0.029368,14.5253
5,FEDERALBNK,0.318953,0.022885,13.9372
6,IDBI,0.224104,0.017792,12.5954
7,PIIND,0.204031,0.016292,12.5237
8,COLPAL,0.196655,0.016232,12.1154
9,SKFINDIA,0.127531,0.01076,11.8528
10,CUMMINSIND,0.27715,0.024686,11.2272
11,BANKINDIA,0.338752,0.031164,10.8701
12,PNB,0.31407,0.029441,10.6677
13,PFC,0.381078,0.036195,10.5286
14,MANAPPURAM,0.275552,0.026712,10.3155
15,SUPREMEIND,0.189456,0.019015,9.9635
16,UNITDSPR,0.241785,0.024854,9.7282
17,NHPC,0.14823,0.016166,9.1693
18,LT,0.131515,0.014406,9.1289
19,GVT&D,0.256628,0.028413,9.032
20,UNIONBANK,0.307224,0.034685,8.8575
