Rank,Symbol,Momentum,Volatility,Score
1,ULTRACEMCO,0.280444,0.011438,24.5192
2,TECHM,0.336978,0.016744,20.1249
3,MOTHERSON,0.360925,0.018192,19.8401
4,GRASIM,0.237676,0.012246,19.4088
5,M&MFIN,0.337606,0.01793,18.8296
6,UNITDSPR,0.634104,0.0355,17.8623
7,IPCALAB,0.315361,0.018951,16.6408
8,ZEEL,0.31634,0.019261,16.4238
9,HINDUNILVR,0.236774,0.014824,15.9722
10,SUNDARMFIN,0.271096,0.016983,15.9628
11,M&M,0.204485,0.012871,15.8878
12,CIPLA,0.210317,0.01348,15.6019
13,PIDILITIND,0.245243,0.016242,15.0993
14,SHREECEM,0.257299,0.017106,15.0418
15,EIDPARRY,0.307692,0.020498,15.0105
16,63MOONS,0.270714,0.019259,14.0562
17,GITANJALI,0.144665,0.010548,13.7145
18,WOCKPHARMA,0.385957,0.02846,13.5612
19,EICHERMOT,0.188981,0.014505,13.0286
20,HCLTECH,0.191724,0.014933,12.8389
