Rank,Symbol,Momentum,Volatility,Score
1,MOTILALOFS,0.647141,0.028321,22.8505
2,IIFL,0.555305,0.025007,22.2057
3,PEL,0.509863,0.023256,21.9243
4,HDFCBANK,0.181981,0.008352,21.7898
5,RAJESHEXPO,0.183672,0.009233,19.8923
6,QUESS,0.301212,0.016475,18.2825
7,TVSMOTOR,0.240116,0.013358,17.9749
8,VAKRANGEE,0.26171,0.014694,17.8102
9,MARUTI,0.208378,0.011867,17.56
10,HINDUNILVR,0.215701,0.012317,17.5131
11,PIDILITIND,0.192103,0.01112,17.2758
12,LICHSGFIN,0.226263,0.013809,16.3856
13,COROMANDEL,0.341063,0.021105,16.1602
14,MOTHERSON,0.243109,0.015131,16.0668
15,KARURVYSYA,0.30826,0.019951,15.4511
16,GODREJPROP,0.412528,0.027426,15.0414
17,GODREJIND,0.247118,0.016526,14.953
18,KOTAKBANK,0.146315,0.009943,14.7147
19,ENDURANCE,0.221256,0.015656,14.1327
20,GILLETTE,0.204827,0.014727,13.9084
