Rank,Symbol,Momentum,Volatility,Score
1,ACC,0.1937,0.013533,14.3136
2,AMBUJACEM,0.185322,0.02061,8.992
3,IGL,0.124183,0.014398,8.6249
4,SUNTECK,0.14259,0.018868,7.5573
5,IDEA,0.171756,0.023779,7.223
6,M&M,0.147153,0.020542,7.1636
7,ULTRACEMCO,0.109685,0.015793,6.9453
8,BAJAJ-AUTO,0.089561,0.017678,5.0662
9,CRISIL,0.095447,0.02008,4.7532
10,GRASIM,0.066218,0.015585,4.2488
11,PETRONET,0.08921,0.02514,3.5486
12,RNAVAL,0.097113,0.028797,3.3723
13,CHAMBLFERT,0.100866,0.029934,3.3696
14,HEROMOTOCO,0.05391,0.01681,3.207
15,OIL,0.033813,0.013359,2.531
16,GUJENERGY,0.04644,0.018865,2.4617
17,GSPL,0.058282,0.024158,2.4126
18,ASIANPAINT,0.025285,0.012957,1.9515
19,GMDCLTD,0.043341,0.024112,1.7975
20,SHREECEM,0.029365,0.019581,1.4997
