Rank,Symbol,Momentum,Volatility,Score
1,TCS,0.215719,0.010993,19.6231
2,HCLTECH,0.259685,0.016226,16.0044
3,WOCKPHARMA,0.298887,0.019271,15.5093
4,CONCOR,0.147218,0.012075,12.192
5,INFY,0.259335,0.022097,11.736
6,BLUEDART,0.172848,0.015096,11.4503
7,GSKCONS,0.102778,0.009996,10.2816
8,ASIANPAINT,0.12697,0.012392,10.2462
9,BERGEPAINT,0.239048,0.025903,9.2286
10,SUNPHARMA,0.107379,0.012281,8.7435
11,TECHM,0.127264,0.015506,8.2072
12,PIDILITIND,0.156833,0.019161,8.1851
13,KANSAINER,0.097423,0.012095,8.0548
14,ITC,0.083407,0.010382,8.0339
15,DABUR,0.101748,0.013006,7.8232
16,PEL,0.125301,0.016355,7.6611
17,SANOFI,0.094082,0.014898,6.3151
18,IGL,0.098232,0.016147,6.0836
19,CASTROLIND,0.072245,0.013399,5.3917
20,ONGC,0.103824,0.019884,5.2214
