Rank,Symbol,Momentum,Volatility,Score
1,WOCKPHARMA,0.915427,0.026633,34.3716
2,BAJAJHLDNG,0.298459,0.010539,28.3192
3,BAJAJFINSV,0.691074,0.02534,27.2723
4,EMAMILTD,0.296568,0.011819,25.093
5,EICHERMOT,0.396996,0.01931,20.5592
6,ITC,0.223799,0.011803,18.9614
7,MRF,0.47316,0.026022,18.1828
8,PIDILITIND,0.261887,0.014508,18.0508
9,MARICO,0.201342,0.011235,17.9206
10,BRITANNIA,0.256755,0.014363,17.8759
11,TORNTPHARM,0.201381,0.012552,16.0431
12,NAUKRI,0.234625,0.015542,15.0965
13,RNAVAL,0.141649,0.009464,14.9679
14,DABUR,0.184865,0.012355,14.9623
15,TMPV,0.336366,0.02262,14.8704
16,PRESTIGE,0.422827,0.028816,14.6735
17,BATAINDIA,0.335951,0.023364,14.3789
18,GILLETTE,0.318123,0.022457,14.1656
19,GODREJCP,0.203561,0.014846,13.7114
20,ULTRACEMCO,0.192219,0.014232,13.5057
