Rank,Symbol,Volatility
1,ZFCVINDIA,0.001121
2,GILLETTE,0.009584
3,VINATIORGA,0.010631
4,NESTLEIND,0.011058
5,HINDUNILVR,0.011105
6,HDFCAMC,0.011471
7,PAGEIND,0.011498
8,MARICO,0.011839
9,IRCTC,0.012101
10,TORNTPOWER,0.012285
11,RELAXO,0.012463
12,COLPAL,0.012482
13,SYMPHONY,0.012848
14,SCHAEFFLER,0.012981
15,VGUARD,0.013141
16,HEXAWARE,0.013162
17,SJVN,0.013504
18,GODREJCP,0.01359
19,CRISIL,0.013625
20,NLCINDIA,0.013641
