Rank,Symbol,Volatility
1,ADANIENT,0.000797
2,JSWDULUX,0.013377
3,PGHH,0.013438
4,GLAXO,0.015298
5,BRITANNIA,0.016635
6,STERLINBIO,0.020221
7,PFIZER,0.020923
8,HINDUNILVR,0.021304
9,BOSCHLTD,0.021819
10,COLPAL,0.022043
11,DABUR,0.023318
12,CASTROLIND,0.023863
13,ASIANPAINT,0.024072
14,GODREJCP,0.024086
15,CONCOR,0.025093
16,LUPIN,0.025213
17,MARICO,0.026073
18,TATACONSUM,0.027004
19,NTPC,0.027584
20,GUJENERGY,0.027675
