Rank,Symbol,Volatility
1,ADANIENT,0.00021
2,SOLARINDS,0.007483
3,HDFCBANK,0.007506
4,LTTS,0.007684
5,RAJESHEXPO,0.008002
6,CRISIL,0.008297
7,GSKCONS,0.00911
8,NTPC,0.009593
9,COALINDIA,0.010055
10,KOTAKBANK,0.010271
11,INDUSINDBK,0.010537
12,IDFCFIRSTB,0.01076
13,GLAXO,0.010983
14,VTL,0.011157
15,HCLTECH,0.011158
16,INFY,0.011171
17,ASIANPAINT,0.011175
18,TRENT,0.011234
19,BATAINDIA,0.011403
20,TTKPRESTIG,0.011634
