Rank,Symbol,Volatility
1,ADANIENT,0.002893
2,SANOFI,0.010745
3,COLPAL,0.013038
4,MRF,0.013385
5,NESTLEIND,0.013868
6,IRFC,0.014436
7,HCLTECH,0.014437
8,SUNPHARMA,0.014959
9,ALKEM,0.015418
10,TCS,0.015568
11,BAYERCROP,0.015793
12,PFIZER,0.016162
13,INFY,0.016218
14,HONAUT,0.016257
15,ITC,0.016355
16,TORNTPHARM,0.016417
17,WHIRLPOOL,0.016532
18,AIAENG,0.016918
19,CIPLA,0.017167
20,GLAND,0.017449
