Rank,Symbol,Volatility
1,SANOFI,0.005862
2,COLPAL,0.007652
3,TATACONSUM,0.00789
4,GLAXO,0.008335
5,HATSUN,0.008394
6,DRREDDY,0.008795
7,ZFCVINDIA,0.008826
8,NATCOPHARM,0.008858
9,KOTAKBANK,0.009303
10,OFSS,0.009319
11,SUNPHARMA,0.009323
12,TORNTPHARM,0.009396
13,NESTLEIND,0.009429
14,GRASIM,0.009651
15,NTPC,0.009707
16,MARICO,0.009875
17,ABBOTINDIA,0.009954
18,MARUTI,0.010008
19,SUNDARMFIN,0.010231
20,PGHH,0.010308
