Rank,Symbol,Volatility
1,GILLETTE,0.005523
2,HONAUT,0.007232
3,SANOFI,0.008358
4,SJVN,0.008747
5,HEROMOTOCO,0.009314
6,DABUR,0.009648
7,KOTAKBANK,0.010076
8,SKFINDIA,0.010292
9,DHFL,0.010352
10,MARUTI,0.010444
11,ITC,0.010447
12,BHARATFIN,0.010612
13,WIPRO,0.010654
14,MRF,0.010659
15,HDFC,0.010824
16,NTPC,0.010941
17,SCHAEFFLER,0.011315
18,HDFCBANK,0.011523
19,BRITANNIA,0.011817
20,JSWDULUX,0.011886
