Rank,Symbol,Volatility
1,ADANIENT,0.002244
2,ITC,0.006851
3,ICICIBANK,0.007629
4,COALINDIA,0.007927
5,SBIN,0.008224
6,IRCTC,0.008351
7,HDFCBANK,0.008453
8,NTPC,0.008577
9,UBL,0.00885
10,POWERGRID,0.008971
11,EICHERMOT,0.009179
12,ONGC,0.009326
13,PIDILITIND,0.009539
14,TATAPOWER,0.010045
15,TATATECH,0.010223
16,LTTS,0.010243
17,TCS,0.010265
18,YESBANK,0.010455
19,HCLTECH,0.010513
20,SBILIFE,0.010584
