Rank,Symbol,Volatility
1,ADANIENT,0.000684
2,GLAXO,0.0121
3,BRITANNIA,0.013194
4,M&MFIN,0.013482
5,KANSAINER,0.014142
6,KPIL,0.014316
7,PFIZER,0.014543
8,APOLLOHOSP,0.01457
9,PGHH,0.014621
10,CONCOR,0.014905
11,PIDILITIND,0.014977
12,LUPIN,0.015065
13,RAYMOND,0.015218
14,BERGEPAINT,0.016029
15,GODREJCP,0.016727
16,JUBLPHARMA,0.016798
17,RAMCOCEM,0.017073
18,NDTV,0.017778
19,SUNPHARMA,0.018053
20,GSKCONS,0.018622
