Rank,Symbol,Momentum,Volatility,Score
1,TCS,0.143062,0.01012,14.1369
2,BLUEDART,0.19845,0.016687,11.8923
3,SUNPHARMA,0.133403,0.011927,11.1851
4,CONCOR,0.135215,0.01209,11.184
5,ASIANPAINT,0.143485,0.01298,11.0547
6,PIDILITIND,0.203011,0.020293,10.0042
7,WOCKPHARMA,0.198627,0.020221,9.823
8,KANSAINER,0.127127,0.013366,9.5109
9,GSKCONS,0.109542,0.011577,9.4624
10,BERGEPAINT,0.235127,0.025341,9.2784
11,ITC,0.076761,0.009198,8.3451
12,SANOFI,0.126882,0.016332,7.7689
13,LUPIN,0.075953,0.010266,7.3984
14,HCLTECH,0.120028,0.016302,7.3628
15,DABUR,0.098335,0.014347,6.8541
16,INFY,0.05227,0.009018,5.7961
17,BRITANNIA,0.076648,0.013291,5.7671
18,RAMCOCEM,0.081405,0.017305,4.7042
19,GMRAIRPORT,0.1325,0.030124,4.3985
20,PEL,0.067053,0.015271,4.391
