Rank,Symbol,Momentum,Volatility,Score
1,WOCKPHARMA,0.712519,0.0279,25.5385
2,LUPIN,0.364084,0.015709,23.1768
3,SIEMENS,0.502447,0.022804,22.0337
4,SPARC,1.32814,0.068331,19.4369
5,HEXAWARE,0.448452,0.024996,17.941
6,PAGEIND,0.303825,0.019796,15.3482
7,SUZLON,0.789298,0.054086,14.5935
8,FORTIS,0.533052,0.038486,13.8504
9,GILLETTE,0.411382,0.032454,12.6759
10,BHARATFORG,0.239773,0.020457,11.7207
11,PGHH,0.173965,0.014979,11.6139
12,MRPL,0.34891,0.031534,11.0646
13,SUPREMEIND,0.209789,0.019273,10.8851
14,RAJESHEXPO,0.416726,0.038539,10.8131
15,SUNPHARMA,0.21378,0.020451,10.4533
16,KSCL,0.326366,0.031807,10.2608
17,HCLTECH,0.216027,0.021375,10.1064
18,AIAENG,0.229645,0.023002,9.9837
19,3MINDIA,0.201879,0.020741,9.7332
20,BOSCHLTD,0.23568,0.024423,9.65
