Rank,Symbol,Momentum,Volatility,Score
1,UPL,0.353373,0.027803,12.71
2,APLLTD,0.23143,0.019658,11.7725
3,INDUSTOWER,0.25337,0.025283,10.0215
4,AJANTPHARM,0.296921,0.032864,9.0348
5,ZYDUSLIFE,0.190187,0.023159,8.2121
6,OFSS,0.106186,0.012999,8.1687
7,PAGEIND,0.202088,0.024901,8.1157
8,MARICO,0.204549,0.025254,8.0997
9,EICHERMOT,0.194439,0.024124,8.0599
10,DISHTV,0.231003,0.029321,7.8785
11,BAJAJ-AUTO,0.143471,0.018529,7.7431
12,BRITANNIA,0.183306,0.023819,7.6958
13,VOLTAS,0.185508,0.027526,6.7393
14,BPCL,0.168355,0.025548,6.5898
15,KAJARIACER,0.109276,0.019281,5.6676
16,JUBLFOOD,0.147016,0.026698,5.5066
17,PEL,0.120108,0.02297,5.229
18,TTKPRESTIG,0.10417,0.020279,5.1368
19,GODREJIND,0.138117,0.027115,5.0938
20,MRPL,0.10762,0.021992,4.8936
