Rank,Symbol,Momentum,Volatility,Score
1,RAJESHEXPO,0.205355,0.013153,15.6127
2,IGL,0.29806,0.020206,14.7512
3,OIL,0.247223,0.018415,13.4253
4,BRITANNIA,0.141361,0.010807,13.08
5,BAJAJHLDNG,0.256182,0.020459,12.5218
6,BHARATFIN,0.226702,0.018749,12.0914
7,HONAUT,0.304988,0.02531,12.0499
8,BATAINDIA,0.204942,0.017271,11.8661
9,LTF,0.298071,0.025244,11.8075
10,EDELWEISS,0.367295,0.031315,11.7289
11,FRETAIL,0.336803,0.029574,11.3886
12,PCJEWELLER,0.307768,0.027132,11.3432
13,GILLETTE,0.094737,0.009138,10.367
14,GODREJPROP,0.214601,0.021032,10.2036
15,TECHM,0.154001,0.01528,10.0789
16,MOTILALOFS,0.193692,0.022257,8.7024
17,BAJFINANCE,0.194805,0.023359,8.3397
18,TATASTEEL,0.142419,0.017498,8.1391
19,TVSMOTOR,0.145385,0.018458,7.8764
20,HDFCBANK,0.067009,0.00855,7.8374
