Rank,Symbol,Momentum,Volatility,Score
1,DRREDDY,0.268291,0.010732,24.9989
2,RECLTD,0.608621,0.024787,24.5537
3,SUPREMEIND,0.541181,0.02386,22.6811
4,PFC,0.392545,0.017699,22.1785
5,LUPIN,0.329155,0.015339,21.4581
6,GLAND,0.717144,0.034595,20.7297
7,ASHOKLEY,0.258075,0.013124,19.664
8,ZYDUSLIFE,0.251043,0.012911,19.4441
9,GMRAIRPORT,0.288115,0.01504,19.1564
10,INDIANB,0.456293,0.024704,18.4707
11,UNIONBANK,0.309771,0.016968,18.2561
12,ESCORTS,0.269922,0.01511,17.8638
13,AUROPHARMA,0.30497,0.018086,16.8619
14,COLPAL,0.238301,0.014708,16.2022
15,APLAPOLLO,0.339318,0.021355,15.8897
16,NTPC,0.230046,0.014555,15.8057
17,CIPLA,0.276683,0.017624,15.6992
18,AJANTPHARM,0.262705,0.017644,14.8892
19,OIL,0.135353,0.009101,14.8724
20,IRFC,0.475232,0.032122,14.7946
