Rank,Symbol,Momentum,Volatility,Score
1,LAURUSLABS,0.721823,0.022789,31.6743
2,ISEC,0.701933,0.023842,29.4408
3,JSWENERGY,0.747866,0.032401,23.0819
4,ZYDUSLIFE,0.465185,0.023439,19.847
5,JSWSTEEL,0.547871,0.02907,18.8468
6,SAIL,0.742386,0.040665,18.256
7,BALKRISIND,0.347083,0.01902,18.2483
8,WIPRO,0.346805,0.01998,17.3577
9,POLYCAB,0.351636,0.020777,16.924
10,TATAELXSI,0.410264,0.02444,16.7867
11,TATASTEEL,0.446449,0.0269,16.5966
12,AARTIIND,0.386466,0.023314,16.5763
13,ADANIENSOL,0.59225,0.036638,16.1649
14,DIVISLAB,0.190529,0.012238,15.5685
15,GLENMARK,0.379169,0.024463,15.4996
16,CRISIL,0.344725,0.022415,15.3794
17,CESC,0.318676,0.020993,15.1802
18,HINDPETRO,0.314253,0.021104,14.8906
19,ATUL,0.262683,0.017847,14.7186
20,NATCOPHARM,0.341288,0.02324,14.6854
