Rank,Symbol,Momentum,Volatility,Score
1,BPCL,0.5,0.023336,21.4258
2,HINDPETRO,1.056034,0.052601,20.0762
3,CONCOR,0.317713,0.016349,19.4332
4,LT,0.28931,0.014977,19.317
5,ACC,0.323554,0.017273,18.7314
6,VOLTAS,0.486226,0.027139,17.9164
7,ENGINERSIN,0.380602,0.021652,17.5781
8,ULTRACEMCO,0.255541,0.015606,16.3743
9,APOLLOTYRE,0.375055,0.022956,16.3383
10,CGPOWER,0.41979,0.028039,14.9718
11,SHREECEM,0.244616,0.017108,14.2987
12,EIHOTEL,0.27773,0.01969,14.105
13,EXIDEIND,0.176302,0.012835,13.7364
14,PAGEIND,0.212946,0.015555,13.6896
15,BAJAJHLDNG,0.114388,0.008464,13.5142
16,IOC,0.312575,0.02333,13.3983
17,CUMMINSIND,0.277294,0.020712,13.3883
18,ADANIENT,0.006994,0.000545,12.8431
19,AUROPHARMA,0.336072,0.026168,12.8427
20,AXISBANK,0.240728,0.019715,12.2102
