Rank,Symbol,Momentum,Volatility,Score
1,ADANIENSOL,0.990905,0.033489,29.5892
2,TVSMOTOR,0.234581,0.012464,18.82
3,KRBL,0.345239,0.021041,16.4078
4,GILLETTE,0.118818,0.007614,15.6046
5,COALINDIA,0.214121,0.013974,15.3232
6,TORNTPOWER,0.310043,0.020241,15.3178
7,DHFL,0.442984,0.029162,15.1907
8,OIL,0.309478,0.020827,14.8596
9,GAIL,0.281519,0.019089,14.748
10,SUNDRMFAST,0.334587,0.022807,14.6705
11,LTTS,0.117093,0.008432,13.8874
12,UBL,0.288382,0.020839,13.8386
13,TATACHEM,0.232075,0.016937,13.7021
14,JSWENERGY,0.346749,0.02567,13.5078
15,GODREJPROP,0.307498,0.022942,13.4034
16,RELIANCE,0.203644,0.0153,13.3102
17,ASHOKLEY,0.22864,0.017623,12.9738
18,PAGEIND,0.173179,0.013366,12.957
19,SOLARINDS,0.180183,0.013946,12.9199
20,ENGINERSIN,0.246271,0.019269,12.7804
