Rank,Symbol,Momentum
1,PCJEWELLER,0.544415
2,ADANIPOWER,0.46198
3,INDIGO,0.433175
4,BANKINDIA,0.329245
5,EIHOTEL,0.323657
6,VGUARD,0.301802
7,GODREJPROP,0.291945
8,PFC,0.280926
9,BPCL,0.272654
10,MANAPPURAM,0.259891
11,MUTHOOTFIN,0.258105
12,UNIONBANK,0.246555
13,DMART,0.244557
14,M&MFIN,0.231635
15,FEDERALBNK,0.230211
16,ASTRAL,0.229625
17,ADANIENSOL,0.223153
18,BATAINDIA,0.223023
19,SUPREMEIND,0.218766
20,BANKBARODA,0.215716
