Rank,Symbol,Momentum
1,RNRL,1.106682
2,JPPOWER,0.890039
3,LITL,0.860747
4,RELINFRA,0.859574
5,TORNTPOWER,0.747454
6,VEDL,0.69174
7,IFCI,0.616619
8,JINDALSTEL,0.605837
9,CHAMBLFERT,0.583099
10,UCOBANK,0.537234
11,MRPL,0.527621
12,HUBTOWN,0.461204
13,TTML,0.410435
14,TATAPOWER,0.378824
15,UNITDSPR,0.371313
16,INDIACEM,0.370488
17,BBTC,0.368326
18,RELCAPITAL,0.350808
19,NLCINDIA,0.349442
20,BPCL,0.340502
