Rank,Symbol,Momentum,Volatility,Score
1,PCJEWELLER,0.415352,0.026047,15.9465
2,LTF,0.339438,0.023267,14.5885
3,HINDPETRO,0.338518,0.029184,11.5996
4,FRETAIL,0.321886,0.028006,11.4935
5,TORNTPOWER,0.221607,0.019339,11.4591
6,TATASTEEL,0.178671,0.015611,11.445
7,HONAUT,0.1302,0.0116,11.2246
8,JSWSTEEL,0.193248,0.017232,11.2146
9,BATAINDIA,0.184853,0.016983,10.8844
10,BAJAJHLDNG,0.189318,0.017635,10.7351
11,BRITANNIA,0.111253,0.0111,10.0227
12,M&MFIN,0.236289,0.023882,9.894
13,VEDL,0.202186,0.020768,9.7353
14,GODREJPROP,0.157739,0.016539,9.5372
15,CESC,0.170492,0.017914,9.5173
16,EDELWEISS,0.22253,0.023468,9.4822
17,BHARATFIN,0.182406,0.019455,9.376
18,RAJESHEXPO,0.116647,0.012468,9.3556
19,BPCL,0.161243,0.017661,9.1297
20,TITAN,0.176086,0.019295,9.1259
