Rank,Symbol,Momentum,Volatility,Score
1,RANBAXY,0.333956,0.028744,11.6183
2,GLAXO,0.284369,0.028218,10.0775
3,GODREJCP,0.187943,0.033079,5.6816
4,BIOCON,0.150248,0.035737,4.2043
5,SUNPHARMA,0.141111,0.033831,4.171
6,GOLDTECH,0.160307,0.038528,4.1608
7,CAIRN,0.173991,0.043341,4.0145
8,BPCL,0.200573,0.06028,3.3274
9,JUBLPHARMA,0.075573,0.024166,3.1272
10,ROLTA,0.199655,0.066766,2.9904
11,CIPLA,0.086394,0.029242,2.9544
12,HINDUNILVR,0.083832,0.033511,2.5016
13,AIAENG,0.0745,0.030346,2.455
14,MOTHERSON,0.110681,0.046054,2.4033
15,HCLTECH,0.09849,0.042349,2.3257
16,HCLTECH,0.09849,0.042349,2.3257
17,HINDALCO,0.10979,0.053031,2.0703
18,BALRAMCHIN,0.145586,0.077078,1.8888
19,VEDL,0.111554,0.062063,1.7974
20,DABUR,0.065547,0.038133,1.7189
