Rank,Symbol,Momentum,Volatility,Score
1,SUNTECK,0.279535,0.021347,13.0947
2,ACC,0.128385,0.013886,9.2459
3,RNAVAL,0.275362,0.033449,8.2322
4,M&M,0.156857,0.020901,7.5046
5,EDUCOMP,0.291502,0.042512,6.8569
6,DLF,0.257009,0.037703,6.8167
7,JINDALSAW,0.170558,0.025394,6.7165
8,IL&FSTRANS,0.125,0.01878,6.656
9,LICHSGFIN,0.120651,0.020063,6.0137
10,TMPV,0.218439,0.03754,5.8188
11,INFY,0.150629,0.026039,5.7846
12,GRASIM,0.089364,0.016381,5.4554
13,RANBAXY,0.097667,0.018157,5.3789
14,OBEROIRLTY,0.067251,0.013281,5.0637
15,JPINFRATEC,0.183272,0.038525,4.7572
16,PATNI,0.12329,0.026865,4.5893
17,IDFC,0.12316,0.027085,4.5471
18,JPASSOCIAT,0.17496,0.040673,4.3016
19,OFSS,0.083668,0.019486,4.2938
20,BIOCON,0.06301,0.015231,4.1369
