Rank,Symbol,Momentum,Volatility,Score
1,APOLLOHOSP,0.196906,0.012538,15.7044
2,MOTHERSON,0.301135,0.019703,15.2837
3,MUTHOOTFIN,0.393468,0.026643,14.7682
4,AUROPHARMA,0.364073,0.026017,13.9939
5,SHREECEM,0.208595,0.015059,13.8521
6,GODREJPROP,0.169835,0.012472,13.6171
7,ULTRACEMCO,0.149512,0.011317,13.2107
8,MFSL,0.234452,0.018308,12.8059
9,M&M,0.155244,0.014099,11.011
10,TECHM,0.190362,0.018366,10.3647
11,JUBLPHARMA,0.298343,0.029375,10.1563
12,EXIDEIND,0.152198,0.015625,9.741
13,TITAN,0.159893,0.016585,9.6409
14,IDBI,0.161346,0.016827,9.5883
15,UNIONBANK,0.255133,0.026845,9.5039
16,UNITDSPR,0.369559,0.039065,9.4602
17,IL&FSTRANS,0.183394,0.019707,9.3061
18,COROMANDEL,0.15223,0.016585,9.1785
19,PIDILITIND,0.160755,0.017625,9.1209
20,RNAVAL,0.341026,0.038056,8.9611
