Rank,Symbol,Momentum,Volatility,Score
1,TECHM,0.282075,0.015485,18.2158
2,TCS,0.195516,0.015751,12.4131
3,JINDALSTEL,0.400324,0.035268,11.351
4,ABB,0.184753,0.016333,11.3115
5,LTM,0.207655,0.020807,9.9799
6,INFY,0.113644,0.012268,9.2635
7,HCLTECH,0.115586,0.012999,8.892
8,MINDTREE,0.222579,0.026337,8.4513
9,MPHASIS,0.139303,0.017415,7.9991
10,ADANIENT,0.00243,0.000316,7.7028
11,JUBLPHARMA,0.244223,0.031926,7.6496
12,3MINDIA,0.163935,0.022875,7.1667
13,YESBANK,0.10678,0.014909,7.1623
14,LTTS,0.285142,0.040952,6.9629
15,LT,0.083294,0.01297,6.422
16,HEXAWARE,0.125,0.01948,6.4167
17,SYNGENE,0.109353,0.017386,6.2896
18,VBL,0.148596,0.025031,5.9364
19,COALINDIA,0.100411,0.016943,5.9264
20,ITC,0.061585,0.011385,5.4094
