Rank,Symbol,Momentum,Volatility,Score
1,RAJESHEXPO,1.141579,0.05513,20.7069
2,HONAUT,0.239705,0.015198,15.772
3,JAGRAN,0.220187,0.017692,12.4455
4,DRREDDY,0.240933,0.019498,12.3571
5,ASHOKLEY,0.322863,0.027115,11.9072
6,MARUTI,0.174859,0.016039,10.9022
7,BLUEDART,0.222809,0.021016,10.6017
8,ZFCVINDIA,0.30166,0.029807,10.1203
9,3MINDIA,0.321205,0.031998,10.0382
10,SANOFI,0.210026,0.02123,9.8929
11,ABIRLANUVO,0.237466,0.024114,9.8477
12,PFIZER,0.263543,0.027077,9.7332
13,MRF,0.249546,0.026554,9.3978
14,IGL,0.164366,0.017854,9.2061
15,BERGEPAINT,0.191356,0.021913,8.7327
16,BAJAJHLDNG,0.17324,0.020244,8.5577
17,BANKBARODA,0.323837,0.038215,8.4741
18,BANKBARODA,0.323837,0.038215,8.4741
19,IBULHSGFIN,0.219567,0.026361,8.3293
20,DIVISLAB,0.205742,0.024882,8.2687
