Rank,Symbol,Momentum,Volatility,Score
1,HDFCAMC,0.344025,0.017237,19.958
2,HDFCLIFE,0.226024,0.014789,15.2834
3,BAJAJFINSV,0.211395,0.014409,14.6715
4,SRF,0.266188,0.019132,13.9134
5,TATACONSUM,0.322383,0.023878,13.5014
6,SBILIFE,0.240487,0.017979,13.376
7,BAJFINANCE,0.216529,0.01737,12.4655
8,AUBANK,0.182421,0.015046,12.124
9,ABB,0.217667,0.01907,11.4142
10,TITAN,0.168893,0.014805,11.4078
11,TRENT,0.218431,0.020029,10.9058
12,SHREECEM,0.16891,0.016045,10.5274
13,WIPRO,0.101027,0.010105,9.9979
14,GODREJPROP,0.232614,0.025838,9.0027
15,SOLARINDS,0.16407,0.018261,8.9848
16,KOTAKBANK,0.106857,0.01204,8.8751
17,ATUL,0.110042,0.012494,8.8073
18,GUJENERGY,0.163741,0.0199,8.2283
19,GILLETTE,0.13367,0.016397,8.152
20,BEL,0.206434,0.025683,8.0377
