Rank,Symbol,Momentum,Volatility,Score
1,ALBK,0.416793,0.015441,26.9919
2,TMPV,0.473786,0.018013,26.3027
3,WOCKPHARMA,1.346125,0.052424,25.6774
4,UCOBANK,0.47511,0.019342,24.5641
5,HDFCBANK,0.28527,0.011631,24.5266
6,LICHSGFIN,0.45524,0.018776,24.2464
7,UBL,0.83399,0.035024,23.8123
8,TATASTEEL,0.377617,0.016638,22.6954
9,TATASTEEL,0.377617,0.016638,22.6954
10,BANKINDIA,0.426708,0.019375,22.0234
11,SBIN,0.388387,0.018025,21.5474
12,VIJAYABANK,0.356853,0.01739,20.5202
13,HINDALCO,0.41077,0.020734,19.8116
14,TITAN,0.328877,0.016816,19.5574
15,CORPBANK,0.314269,0.016389,19.1761
16,AXISBANK,0.268455,0.014011,19.1603
17,PNB,0.235989,0.012463,18.9351
18,CGPOWER,0.281156,0.015291,18.3867
19,KOTAKBANK,0.306625,0.016841,18.207
20,DLF,0.372833,0.020581,18.1151
