Rank,Symbol,Momentum,Volatility,Score
1,WOCKPHARMA,0.605609,0.029727,20.3721
2,LUPIN,0.289871,0.01655,17.5153
3,HEXAWARE,0.39991,0.0266,15.0343
4,SIEMENS,0.307725,0.024101,12.768
5,KSCL,0.40981,0.034576,11.8526
6,GILLETTE,0.412024,0.035856,11.4912
7,SUZLON,0.621212,0.05458,11.3816
8,FORTIS,0.441799,0.041812,10.5664
9,PAGEIND,0.194084,0.019427,9.9903
10,SUPREMEIND,0.197615,0.020333,9.7189
11,PGHH,0.156543,0.016466,9.5068
12,GSKCONS,0.10757,0.01152,9.338
13,BHARATFORG,0.203311,0.021951,9.2621
14,BRITANNIA,0.125539,0.015354,8.1764
15,UPL,0.191813,0.023864,8.0378
16,PIIND,0.241277,0.031712,7.6083
17,RAJESHEXPO,0.173466,0.024333,7.1289
18,HCLTECH,0.16048,0.022635,7.0899
19,MRPL,0.227788,0.033266,6.8475
20,HAVELLS,0.129633,0.019763,6.5592
