Rank,Symbol,Momentum,Volatility,Score
1,CIPLA,0.423456,0.019197,22.0585
2,MARUTI,0.226387,0.012272,18.4473
3,LUPIN,0.276634,0.015783,17.5275
4,SUNDARMFIN,0.323684,0.018904,17.1225
5,MRF,0.380847,0.022741,16.7468
6,MINDTREE,0.269155,0.016513,16.2996
7,MARICO,0.199086,0.012235,16.2718
8,OFSS,0.228682,0.014499,15.7722
9,CYIENT,0.312699,0.019863,15.7431
10,DRREDDY,0.183404,0.011716,15.6538
11,TORNTPHARM,0.212641,0.014437,14.7291
12,TECHM,0.160583,0.011334,14.1686
13,HINDUNILVR,0.163589,0.011671,14.0168
14,EMAMILTD,0.272786,0.019599,13.9187
15,GLENMARK,0.298032,0.021427,13.9094
16,BRITANNIA,0.321609,0.023235,13.8414
17,3MINDIA,0.334384,0.024553,13.6186
18,SHREECEM,0.192512,0.014165,13.591
19,SHOPERSTOP,0.35379,0.027359,12.9316
20,AIAENG,0.300382,0.023523,12.7699
