Rank,Symbol,Momentum,Volatility,Score
1,PIDILITIND,0.71215,0.026126,27.2579
2,VOLTAS,0.733347,0.036433,20.1285
3,PANACEABIO,0.649725,0.033404,19.4505
4,JINDALSTEL,0.359985,0.018622,19.3316
5,TATACONSUM,0.291704,0.016355,17.8362
6,GAMMONIND,0.409914,0.024699,16.5965
7,HCC,0.436327,0.02701,16.154
8,GODFRYPHLP,0.346982,0.024623,14.0916
9,BHARTIARTL,0.278109,0.020218,13.7556
10,CONCOR,0.27187,0.019859,13.69
11,ITC,0.26861,0.020067,13.3854
12,EIHOTEL,0.220634,0.017993,12.2623
13,ABIRLANUVO,0.308291,0.025358,12.1578
14,ENGINERSIN,0.273859,0.023281,11.7631
15,SBIN,0.18003,0.015529,11.5933
16,MRF,0.333404,0.029891,11.1541
17,VEDL,1.037594,0.094588,10.9697
18,BRITANNIA,0.208029,0.020148,10.3249
19,GESHIP,0.292348,0.02912,10.0393
20,BEML,0.29641,0.030435,9.739
