Rank,Symbol,Momentum,Volatility,Score
1,GESHIP,0.310157,0.018635,16.6437
2,GMRAIRPORT,0.599278,0.036334,16.4938
3,COROMANDEL,0.346807,0.023904,14.5082
4,TATACOMM,0.289673,0.022763,12.7254
5,NMDC,0.275567,0.028656,9.6162
6,TATASTEEL,0.372493,0.038757,9.611
7,TATASTEEL,0.372493,0.038757,9.611
8,VEDL,0.57884,0.061719,9.3786
9,JSWSTEEL,0.375199,0.041128,9.1227
10,GUJENERGY,0.410959,0.045835,8.9661
11,HINDALCO,0.316763,0.035939,8.8139
12,HINDZINC,0.320726,0.037883,8.4662
13,ASTRAZEN,0.332585,0.039922,8.331
14,HCLTECH,0.184508,0.023624,7.8102
15,UBL,0.305871,0.042339,7.2243
16,BHARATFORG,0.241051,0.035072,6.873
17,SAIL,0.226619,0.033053,6.8561
18,EIHOTEL,0.172193,0.025527,6.7456
19,AMARAJABAT,0.222565,0.033477,6.6484
20,HEXAWARE,0.139823,0.021185,6.6
