Rank,Symbol,Momentum,Volatility,Score
1,BLUEDART,0.276932,0.012864,21.5273
2,DIXON,0.501206,0.023532,21.2985
3,PATANJALI,0.284585,0.014458,19.6838
4,LODHA,0.510883,0.026769,19.0846
5,INDUSINDBK,0.213965,0.011211,19.0845
6,LTF,0.370504,0.020159,18.3787
7,TRENT,0.221491,0.012488,17.736
8,UNITDSPR,0.155876,0.009434,16.5229
9,LUPIN,0.216845,0.013437,16.1381
10,ASTRAL,0.246696,0.015648,15.7653
11,PFC,0.295754,0.018897,15.6509
12,ICICIPRULI,0.279493,0.018338,15.2415
13,SKFINDIA,0.21224,0.014034,15.1233
14,SUNDARMFIN,0.113661,0.007551,15.0518
15,CHOLAFIN,0.184999,0.013041,14.1856
16,INDIGO,0.179035,0.012687,14.112
17,DABUR,0.127943,0.009211,13.891
18,M&M,0.18887,0.01362,13.867
19,ENDURANCE,0.202245,0.015039,13.4478
20,SHRIRAMFIN,0.318866,0.023861,13.3636
