Rank,Symbol,Momentum,Volatility,Score
1,ACC,0.135864,0.013604,9.987
2,M&M,0.164118,0.019761,8.305
3,SUNTECK,0.175801,0.023424,7.5053
4,RNAVAL,0.216885,0.036414,5.9561
5,ULTRACEMCO,0.09884,0.016912,5.8445
6,AMBUJACEM,0.129738,0.023267,5.5761
7,ADANIPORTS,0.16036,0.029014,5.527
8,STERLINBIO,0.139476,0.027926,4.9945
9,GRASIM,0.078442,0.016686,4.701
10,LICHSGFIN,0.09892,0.021176,4.6714
11,JPASSOCIAT,0.194127,0.042443,4.5739
12,BAJAJ-AUTO,0.089293,0.021038,4.2444
13,OBEROIRLTY,0.053976,0.013179,4.0958
14,IL&FSTRANS,0.075053,0.018648,4.0248
15,JPINFRATEC,0.166061,0.041456,4.0057
16,TCS,0.103545,0.02633,3.9326
17,DLF,0.140115,0.039463,3.5505
18,INFY,0.090712,0.025964,3.4938
19,COLPAL,0.056177,0.017424,3.2241
20,RELIANCE,0.083333,0.026233,3.1767
