Rank,Symbol,Momentum,Volatility,Score
1,GMDCLTD,0.274375,0.025922,10.5845
2,NTPC,0.176707,0.017972,9.8324
3,APOLLOHOSP,0.176678,0.018336,9.6356
4,ABAN,0.301512,0.03192,9.4459
5,JINDALSAW,0.197605,0.021909,9.0192
6,ZEEL,0.227071,0.026456,8.5831
7,BIOCON,0.257406,0.032988,7.8031
8,SKFINDIA,0.168996,0.022555,7.4925
9,CENTBOP,0.190865,0.026615,7.1712
10,BHARTIARTL,0.172232,0.025316,6.8033
11,JSWSTEEL,0.209104,0.030825,6.7836
12,SAIL,0.246111,0.037119,6.6303
13,PUNJABTRAC,0.195858,0.029615,6.6135
14,KTKBANK,0.091962,0.015608,5.8919
15,KOTAKBANK,0.129389,0.024088,5.3716
16,BEL,0.186306,0.034742,5.3625
17,CESC,0.190835,0.03566,5.3515
18,OFSS,0.090504,0.017385,5.2058
19,GSPL,0.13769,0.026895,5.1194
20,MARICO,0.105448,0.022597,4.6665
