Rank,Symbol,Momentum,Volatility,Score
1,ULTRACEMCO,0.280444,0.012239,22.9141
2,GRASIM,0.237676,0.01049,22.6581
3,M&MFIN,0.337606,0.018396,18.3524
4,HINDUNILVR,0.236774,0.013401,17.6689
5,HCLTECH,0.191724,0.010921,17.5553
6,MOTHERSON,0.360925,0.020612,17.5103
7,63MOONS,0.270714,0.015629,17.321
8,SHREECEM,0.257299,0.014932,17.2319
9,TECHM,0.336978,0.020029,16.8245
10,UNITDSPR,0.634104,0.039441,16.0772
11,SUNDARMFIN,0.271096,0.016898,16.0433
12,EIDPARRY,0.307692,0.019952,15.4213
13,ZEEL,0.31634,0.02107,15.0135
14,IPCALAB,0.315361,0.021452,14.7005
15,CIPLA,0.210317,0.014595,14.41
16,M&M,0.204485,0.014375,14.2249
17,PIDILITIND,0.245243,0.018628,13.1656
18,BAJAJ-AUTO,0.171676,0.013092,13.113
19,APOLLOHOSP,0.156309,0.012812,12.2004
20,WOCKPHARMA,0.385957,0.033371,11.5657
