Rank,Symbol,Momentum,Volatility,Score
1,HEXAWARE,0.634646,0.013162,48.2198
2,JINDALSTEL,0.971872,0.024889,39.0485
3,DHANI,1.377565,0.036853,37.3803
4,JUBLPHARMA,0.826097,0.025034,32.9987
5,JSWSTEEL,0.53489,0.017289,30.938
6,CHOLAHLDNG,0.709491,0.024582,28.8621
7,QUESS,0.74676,0.025952,28.7742
8,ENDURANCE,0.559249,0.019747,28.3208
9,BAJFINANCE,0.741026,0.027026,27.4195
10,IDBI,0.960199,0.035085,27.3678
11,SBICARD,0.51888,0.019175,27.0607
12,AUBANK,0.823411,0.031016,26.548
13,SUNDRMFAST,0.613031,0.023272,26.3419
14,TATASTEEL,0.463959,0.018851,24.6125
15,TATACOMM,0.804452,0.032932,24.4278
16,HAL,1.171452,0.049289,23.7669
17,BANKINDIA,0.49766,0.021596,23.0445
18,TATAPOWER,0.663957,0.028846,23.0176
19,NLCINDIA,0.309842,0.013641,22.7147
20,IBULHSGFIN,0.688742,0.030352,22.6919
