Rank,Symbol,Momentum,Volatility,Score
1,HONAUT,0.209228,0.015474,13.5216
2,ZFCVINDIA,0.307159,0.028964,10.6048
3,JAGRAN,0.203782,0.019285,10.5669
4,DRREDDY,0.181383,0.018815,9.6406
5,3MINDIA,0.334264,0.035604,9.3885
6,TECHM,0.196328,0.021346,9.1976
7,ESSAROIL,0.337056,0.037672,8.9472
8,RAJESHEXPO,0.490727,0.056447,8.6936
9,PFIZER,0.260143,0.030123,8.636
10,SANOFI,0.174388,0.021035,8.2902
11,MINDTREE,0.190232,0.023526,8.0859
12,ABIRLANUVO,0.178609,0.022775,7.8423
13,MARUTI,0.135937,0.017441,7.7942
14,ASHOKLEY,0.224476,0.028914,7.7636
15,DIVISLAB,0.196729,0.026681,7.3735
16,GODREJPROP,0.2503,0.035602,7.0306
17,TORNTPOWER,0.271793,0.03979,6.8307
18,INFY,0.118978,0.017818,6.6773
19,MRF,0.184873,0.028628,6.4578
20,SUNTV,0.261215,0.044191,5.9111
