Rank,Symbol,Momentum,Volatility,Score
1,ADANIGREEN,0.55327,0.031632,17.4909
2,TATAELXSI,0.511582,0.036357,14.071
3,LINDEINDIA,0.464096,0.035048,13.2418
4,SOLARINDS,0.260361,0.020429,12.7445
5,ADANIENSOL,0.388512,0.031364,12.387
6,ITC,0.186328,0.016355,11.3929
7,ATGL,0.372338,0.033103,11.248
8,JINDALSTEL,0.354803,0.032077,11.0609
9,CUMMINSIND,0.196676,0.018169,10.8247
10,BANKBARODA,0.339492,0.031719,10.7031
11,HAL,0.243842,0.022972,10.615
12,INDHOTEL,0.262594,0.02718,9.6613
13,CHOLAFIN,0.2473,0.026557,9.312
14,TRENT,0.221086,0.024045,9.1947
15,ADANIENT,0.025534,0.002893,8.8263
16,VEDL,0.254254,0.030025,8.4679
17,NMDC,0.215885,0.025842,8.3542
18,SUNPHARMA,0.119937,0.014959,8.0178
19,HINDALCO,0.224901,0.028527,7.8837
20,OIL,0.202426,0.026062,7.7671
