Rank,Symbol,Momentum,Volatility,Score
1,ALBK,0.416793,0.01464,28.4692
2,UBL,0.83399,0.031476,26.4963
3,TMPV,0.473786,0.018487,25.6278
4,UCOBANK,0.47511,0.018873,25.1746
5,WOCKPHARMA,1.346125,0.055881,24.0892
6,LICHSGFIN,0.45524,0.019114,23.8165
7,BANKINDIA,0.426708,0.018156,23.5019
8,HDFCBANK,0.28527,0.012441,22.9296
9,PNB,0.235989,0.010963,21.5254
10,SBIN,0.388387,0.018323,21.1969
11,TATASTEEL,0.377617,0.01792,21.0729
12,TATASTEEL,0.377617,0.01792,21.0729
13,VIJAYABANK,0.356853,0.017928,19.905
14,AXISBANK,0.268455,0.013746,19.5299
15,ORIENTBANK,0.384615,0.019831,19.3947
16,BHARTIARTL,0.299547,0.016282,18.3976
17,HINDALCO,0.41077,0.02256,18.2082
18,CGPOWER,0.281156,0.015505,18.1333
19,CENTRALBK,0.388447,0.021435,18.122
20,DLF,0.372833,0.020815,17.9119
