Rank,Symbol,Momentum,Volatility,Score
1,LAURUSLABS,0.726593,0.020795,34.9407
2,JSWENERGY,0.788585,0.02346,33.6136
3,JSWSTEEL,0.702312,0.023813,29.4928
4,ADANIENSOL,0.853646,0.029243,29.1914
5,ATGL,0.963216,0.034086,28.2584
6,TATASTEEL,0.621849,0.025214,24.663
7,ZYDUSLIFE,0.468349,0.01914,24.4696
8,ISEC,0.572153,0.02526,22.6503
9,SAIL,0.829447,0.037092,22.3619
10,DIVISLAB,0.276711,0.012687,21.8114
11,WIPRO,0.299537,0.014185,21.1172
12,ATUL,0.318928,0.015399,20.7116
13,BALKRISIND,0.387682,0.018816,20.6039
14,UNITDSPR,0.214193,0.010775,19.8784
15,GLENMARK,0.34431,0.017889,19.2475
16,AARTIIND,0.417837,0.022549,18.5302
17,POLYCAB,0.375922,0.020747,18.1195
18,CIPLA,0.223905,0.012693,17.6396
19,UPL,0.357195,0.021065,16.9567
20,PIDILITIND,0.242457,0.01439,16.8489
