Rank,Symbol,Momentum,Volatility,Score
1,CONCOR,0.158962,0.012822,12.3979
2,ONGC,0.275605,0.024827,11.1008
3,HINDPETRO,1.064286,0.111027,9.5858
4,GLAXO,0.084002,0.00966,8.6958
5,BFUTILITIE,0.333132,0.041158,8.094
6,BPCL,0.490991,0.065399,7.5076
7,BERGEPAINT,0.111111,0.015036,7.3896
8,BANKBARODA,0.284676,0.041977,6.7818
9,SHRIRAMFIN,0.111586,0.017361,6.4272
10,EIHOTEL,0.197701,0.032452,6.0922
11,ZYDUSLIFE,0.111555,0.019805,5.6326
12,MOTHERSON,0.115313,0.020553,5.6104
13,THERMAX,0.12735,0.023509,5.417
14,AIAENG,0.129287,0.024127,5.3585
15,TITAN,0.134883,0.026351,5.1187
16,ORIENTBANK,0.165447,0.035442,4.6681
17,IOC,0.131417,0.029543,4.4484
18,HINDUNILVR,0.084361,0.019233,4.3862
19,HEROMOTOCO,0.095521,0.02234,4.2757
20,IDBI,0.152903,0.035975,4.2503
