Rank,Symbol,Momentum,Volatility,Score
1,CASTROLIND,0.180162,0.017666,10.1983
2,MARICO,0.171068,0.017428,9.8155
3,BAJAJFINSV,0.260803,0.028777,9.0629
4,YESBANK,0.272868,0.032252,8.4604
5,INDUSINDBK,0.20009,0.02427,8.2445
6,ASIANPAINT,0.121881,0.015589,7.8183
7,OFSS,0.169107,0.021904,7.7203
8,PFIZER,0.091111,0.01183,7.702
9,COLPAL,0.127459,0.017254,7.3871
10,JSL,0.264893,0.036204,7.3166
11,UCOBANK,0.210863,0.02935,7.1845
12,GTL,0.055448,0.007741,7.1626
13,JETAIRWAYS,0.315014,0.044684,7.0499
14,ANDHRABANK,0.152709,0.021901,6.9728
15,HDFCBANK,0.085413,0.01227,6.961
16,AUROPHARMA,0.160454,0.023592,6.8012
17,CANBK,0.166562,0.025049,6.6494
18,BIOCON,0.163113,0.025148,6.4862
19,EDELWEISS,0.133258,0.020817,6.4016
20,KPIL,0.122426,0.020164,6.0714
