Rank,Symbol,Momentum,Volatility,Score
1,ZFCVINDIA,0.128243,0.009337,13.7346
2,ITC,0.154298,0.013649,11.3051
3,AIAENG,0.13989,0.01597,8.7597
4,KPRMILL,0.150719,0.018397,8.1924
5,LTM,0.146163,0.017897,8.1668
6,ALKEM,0.075433,0.010422,7.2382
7,SCHAEFFLER,0.105477,0.014846,7.1048
8,PERSISTENT,0.153165,0.021827,7.0173
9,BAJAJ-AUTO,0.089025,0.013177,6.7559
10,SUPREMEIND,0.132811,0.020619,6.4413
11,TRENT,0.135484,0.021224,6.3834
12,M&MFIN,0.117384,0.019872,5.9071
13,CUMMINSIND,0.109344,0.018919,5.7796
14,CHOLAFIN,0.111373,0.01936,5.7528
15,SRF,0.084867,0.015471,5.4855
16,VOLTAS,0.082953,0.015395,5.3885
17,TMPV,0.09768,0.018804,5.1947
18,MPHASIS,0.081844,0.015985,5.1199
19,TVSMOTOR,0.088556,0.018129,4.8849
20,BOSCHLTD,0.050981,0.010486,4.8619
