Rank,Symbol,Momentum,Volatility,Score
1,EICHERMOT,0.222282,0.01931,11.5113
2,EMAMILTD,0.1285,0.011819,10.8726
3,WOCKPHARMA,0.263684,0.026633,9.9005
4,RANBAXY,0.192491,0.021192,9.0833
5,ASIANPAINT,0.134919,0.014863,9.0778
6,PFIZER,0.10945,0.012273,8.918
7,DIVISLAB,0.11878,0.01333,8.9106
8,BAJAJFINSV,0.215651,0.02534,8.5104
9,APOLLOTYRE,0.23926,0.02997,7.9833
10,UNITDSPR,0.319751,0.041273,7.7471
11,ITC,0.083774,0.011803,7.0978
12,KARURVYSYA,0.097213,0.01373,7.0805
13,TMPV,0.152951,0.02262,6.7618
14,GODREJCP,0.095462,0.014846,6.4301
15,BOSCHLTD,0.116478,0.018425,6.3218
16,KOTAKBANK,0.118968,0.018983,6.2671
17,MFSL,0.184423,0.030043,6.1387
18,CRISIL,0.100375,0.016879,5.9467
19,TORNTPHARM,0.073626,0.012552,5.8655
20,MARICO,0.062945,0.011235,5.6025
