Rank,Symbol,Momentum,Volatility,Score
1,CIPLA,0.540972,0.01695,31.9156
2,LUPIN,0.435003,0.014599,29.7973
3,MINDTREE,0.504387,0.01727,29.2058
4,DRREDDY,0.345439,0.012385,27.8911
5,BRITANNIA,0.570132,0.021986,25.9313
6,SUNDARMFIN,0.409275,0.016698,24.5105
7,CYIENT,0.482753,0.020486,23.5652
8,BHARATFORG,0.51195,0.021776,23.5102
9,EICHERMOT,0.618057,0.027471,22.4988
10,PIDILITIND,0.354961,0.015789,22.481
11,GILLETTE,0.339734,0.015484,21.9413
12,ZFCVINDIA,0.40812,0.018622,21.9159
13,OFSS,0.355859,0.016309,21.82
14,APLLTD,0.639607,0.02984,21.4348
15,EMAMILTD,0.417914,0.020548,20.3386
16,TORNTPHARM,0.287946,0.014404,19.9903
17,CRISIL,0.504443,0.025373,19.8811
18,SUNPHARMA,0.325369,0.016549,19.6614
19,GFLLIMITED,0.47793,0.024446,19.5506
20,TECHM,0.236559,0.012466,18.9764
