Rank,Symbol,Momentum,Volatility,Score
1,PIDILITIND,0.771418,0.022706,33.9749
2,PANACEABIO,0.8769,0.028515,30.7526
3,JINDALSTEL,0.562326,0.018463,30.4573
4,VEDL,2.763889,0.091053,30.3548
5,TATACONSUM,0.472905,0.016829,28.1012
6,HCC,0.595918,0.023282,25.5958
7,STERLINBIO,1.005348,0.04244,23.6884
8,BHARTIARTL,0.458989,0.020029,22.916
9,VOLTAS,0.713966,0.031612,22.5852
10,CONCOR,0.407547,0.018592,21.9207
11,DCMSHRIRAM,0.65061,0.029736,21.8798
12,RELCAPITAL,0.730386,0.033957,21.5091
13,SBIN,0.327576,0.015631,20.9564
14,ITC,0.372615,0.018375,20.2781
15,BALRAMCHIN,0.559351,0.029863,18.7303
16,M&M,0.338174,0.01829,18.4891
17,BRITANNIA,0.340454,0.018482,18.4211
18,BAJAJHIND,0.525865,0.028677,18.3377
19,EIDPARRY,0.50357,0.027569,18.2661
20,HINDALCO,0.32886,0.018031,18.2383
