Rank,Symbol,Momentum,Volatility,Score
1,MPHASIS,2.122048,0.033429,63.4786
2,ABAN,0.822989,0.030955,26.5869
3,VEDL,0.677596,0.043755,15.4863
4,JSWSTEEL,0.431612,0.029501,14.6306
5,GMDCLTD,0.376143,0.026536,14.1749
6,NDTV,0.3925,0.029448,13.3285
7,PUNJABTRAC,0.369241,0.029674,12.4431
8,JINDALSAW,0.292407,0.02516,11.6221
9,NTPC,0.202612,0.017551,11.5442
10,ZEEL,0.293112,0.025782,11.3687
11,BIOCON,0.328118,0.031665,10.3623
12,APOLLOHOSP,0.170225,0.016971,10.0303
13,KTKBANK,0.183578,0.018532,9.9061
14,CENTBOP,0.258621,0.027218,9.5017
15,BHARTIARTL,0.234562,0.024779,9.4663
16,KOTAKBANK,0.240687,0.025953,9.274
17,SAIL,0.326434,0.038035,8.5826
18,BEL,0.246537,0.030339,8.126
19,ROLTA,0.350417,0.043888,7.9844
20,HTMEDIA,0.181735,0.024051,7.5563
