Rank,Symbol,Momentum,Volatility,Score
1,PERSISTENT,0.33996,0.021786,15.6045
2,OIL,0.331971,0.023447,14.1582
3,CGPOWER,0.252053,0.019446,12.9618
4,GODREJCP,0.148622,0.011817,12.5774
5,PFC,0.271404,0.022767,11.9208
6,CUMMINSIND,0.207264,0.017885,11.5885
7,IOC,0.157328,0.01365,11.5262
8,LT,0.125755,0.011758,10.6951
9,POLICYBZR,0.296603,0.02899,10.2312
10,APLAPOLLO,0.230262,0.022564,10.205
11,JINDALSTEL,0.242708,0.023843,10.1794
12,RAMCOCEM,0.134757,0.013953,9.6581
13,M&MFIN,0.190422,0.020197,9.4281
14,MPHASIS,0.159946,0.017087,9.3609
15,BRITANNIA,0.096405,0.010772,8.9497
16,ONGC,0.119771,0.013592,8.8118
17,DALBHARAT,0.156627,0.017889,8.7554
18,GSPL,0.176019,0.020529,8.5742
19,SHREECEM,0.149907,0.017999,8.3288
20,RECLTD,0.16006,0.019609,8.1626
