Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,BHARTIARTL,0.942734,2.7482,-0.0671,0.040248
2,BAJAJ-AUTO,0.921164,3.4651,-0.0705,0.056908
3,COLPAL,0.916079,2.5548,-0.0759,0.048365
4,LUPIN,0.874727,2.7016,-0.0933,0.064156
5,TORNTPHARM,0.872057,2.3536,-0.0996,0.056208
6,INDIGO,0.868836,2.4423,-0.0848,0.063085
7,SUNPHARMA,0.859574,2.4659,-0.1224,0.056478
8,POWERGRID,0.835812,2.1683,-0.1235,0.055962
9,GRASIM,0.830461,2.0086,-0.1165,0.054009
10,ICICIGI,0.829011,2.0457,-0.1103,0.058495
11,TATAMTRDVR,0.821727,2.4081,-0.1464,0.058431
12,UNITDSPR,0.821013,1.5875,-0.0763,0.043785
13,TMPV,0.817585,2.2272,-0.1363,0.059493
14,BOSCHLTD,0.814294,2.6669,-0.1297,0.072722
15,COALINDIA,0.797023,2.5526,-0.1375,0.073387
16,FEDERALBNK,0.790456,1.6845,-0.1132,0.054111
17,TVSMOTOR,0.784108,3.0606,-0.1674,0.069534
18,NAUKRI,0.783425,1.9828,-0.1257,0.066724
19,ETERNAL,0.781239,3.0118,-0.1456,0.079674
20,HDFCAMC,0.781027,1.9141,-0.1547,0.05018
