Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ATUL,0.924081,1.8321,-0.0946,0.054402
2,HDFCBANK,0.911327,1.2641,-0.1319,0.042794
3,GILLETTE,0.879031,0.8763,-0.1161,0.049193
4,PIIND,0.875696,1.6815,-0.1604,0.063782
5,WIPRO,0.873559,1.5849,-0.1267,0.069142
6,SKFINDIA,0.853693,0.8415,-0.1562,0.052629
7,GSKCONS,0.852009,1.1001,-0.1696,0.060588
8,ICICIGI,0.84956,1.4941,-0.2027,0.062351
9,TRENT,0.849511,1.2595,-0.1523,0.069004
10,INDHOTEL,0.844688,0.7323,-0.1352,0.056287
11,INFY,0.840838,0.8291,-0.1708,0.054935
12,AXISBANK,0.840381,1.7755,-0.1854,0.072942
13,TITAN,0.836852,1.6481,-0.204,0.069027
14,DIVISLAB,0.835952,1.3131,-0.1378,0.076928
15,VBL,0.832047,0.8733,-0.1503,0.065179
16,CUB,0.829222,1.2051,-0.2011,0.065409
17,TCS,0.827394,0.951,-0.2024,0.05796
18,HINDUNILVR,0.827329,0.6346,-0.1561,0.055034
19,PETRONET,0.822351,0.6028,-0.1657,0.053289
20,ABB,0.821671,1.2371,-0.1745,0.074551
